id	k	c	t1	t2	j	p	a	s	z	v	n	m	b	o
508	1	1	JUDr.		Cyril	Svoboda	49	M	ministr zahraničních věcí ČR	1	1	1	Praha	1335084
499	1	1	RNDr.		Martin	Bursík	46	M	ekolog. poradce a předs. SZ	5	5	1	Praha	1335084
434	1	1	MUDr.		David	Rath	40	M	ministr zdravotnictví ČR	7	7	1	Hostivice	8917
185	1	1	Ing.	CSc.	František	Beneš	61	M	zeměměřič, poslanec PS PČR	47	47	0	Praha	1335084
55	1	1	Ing.		Mirek	Topolánek	50	M	politik	53	53	1	Praha	1335084
47	1	1			Václav	Srb	48	M	průvodce-tlumočník	55	55	0	Praha	1335084
351	1	1	Ing.		Václav	Truhlář	44	M	podnikatel	77	77	0	Praha	1335084
205	1	1	Mgr.		Petr	Bahník	38	M	pedagog	79	79	0	Praha	1335084
523	1	1			Petr	Nový	41	M	podnikatel	88	88	0	Čelákovice	12293
501	1	1			Jan	Berger	50	M	fotbalový repr.,trenér,novinář	98	98	0	Praha	1335084
236	1	1	Ing.		Jan	Tamáš	29	M	IT konzultant	100	100	0	Praha	1335084
383	1	1	JUDr.		Pavel	Němec	34	M	místopřed.vl. a ministr sprav.	102	102	0	Tábor	34119
376	1	1	Ing.Arch.		Jan	Kasl	54	M	architekt	129	129	0	Praha	1335084
153	1	1	Mgr.		Petr	Hannig	60	M	hudební skladatel	137	137	0	Praha	1335084
360	1	1			Jiří	Hrdina	53	M	Guvernér BPS	140	140	0	Praha	1335084
20	1	1	Mgr.		Jan	Skácel	71	M	ekonomický poradce	152	152	0	Praha	1335084
308	1	1			Zdenka	Ulmannová	51	F	spisovatelka, novinářka	171	171	0	Praha	1335084
255	1	1			John	Bok	60	M	zastupitel	172	172	0	Praha	1335084
500	1	1			Jaroslav	Rovný	58	M	podnikatel	175	175	0	Hroznětín	2061
171	1	1	Mgr.		Zdeněk	Macura	32	M	Software Engineering Manager	178	178	0	Velké Přílepy	3556
392	1	1	PhDr.		Richard	Knot	53	M	podnikatel	338	9	0	Praha	1335084
672	2	1	JUDr.		Vlasta	Parkanová	54	F	poslankyně PS PČR	1	1	1	Sezimovo Ústí	7176
636	2	1	PhDr.		Olga	Zubová	46	F	ředitelka soukromé galerie	5	5	1	Kutná Hora	20828
895	2	1	Ing.		Milan	Urban	47	M	ministr	7	7	1	Čáslav	10350
723	2	1	JUDr.		Stanislav	Grospič	41	M	poslanec PS PČR	47	47	1	Mladá Boleslav	44506
784	2	1	Ing.	CSc.	Vlastimil	Tlustý	50	M	poslanec PS PČR	53	53	1	Slaný	16010
795	2	1			Jaroslav	Foltýn	64	M	důchodce	55	55	0	Veltruby	1429
613	2	1			Pavel	Kroček	29	M	podnikatel	77	77	0	Praha	1335084
809	2	1			František	Červenka	40	M	knihkupec	79	79	0	Kladno	68896
731	2	1	MUDr.		Pavel	Moučka	53	M	lékař	88	88	0	Kolín	32490
831	2	1			Ludvík	Karfus	59	M	živnostník, šachový trenér...	98	98	0	Kladno	68896
893	2	1	PaedDr.		Vladimír	Kříž	62	M	středoškol.a vysokošk. pedagog	102	102	0	Příbram	32248
629	2	1	Mgr.		Stanislav	Huml	50	M	ředitel společnosti	129	129	0	Brandýs n.L.-St.Bol.	19420
576	2	1			Ivan	Slavický	28	M	podnikatel	137	137	0	Praha	1335084
941	2	1			Josef	Nos	57	M	zpěvák	140	140	0	Kutná Hora	20828
614	2	1			Dušan	Kučera	44	M	podnikatel, 1. mpř. Nár. St.	152	152	0	Beroun	19988
932	2	1			Táňa	Šedivá	54	F	podnikatelka	171	171	0	Praha	1335084
842	2	1	MUDr.	CSc.	Radim	Uzel	66	M	gynekolog, sexuolog	172	172	0	Praha	1335084
850	2	1			Alena	Černá	47	F	pracovník státní správy	178	178	0	Praha	1335084
916	2	1			Roman	Balcar	30	M	podnikatel	338	9	0	Jaroměř	12324
1286	3	1	Ing.		Miroslav	Kalousek	45	M	poslanec	1	1	1	Bechyně	4965
1206	3	1	Mgr.		Dana	Kuchtová	44	F	učitelka a překladatelka	5	5	0	Český Krumlov	12788
1114	3	1	Mgr.		Vítězslav	Jandák	58	M	ministr kultury	7	7	1	Praha	1335084
1135	3	1	JUDr.		Vojtěch	Filip	51	M	poslanec PS PČR	47	47	1	České Budějovice	94229
1169	3	1			Tom	Zajíček	57	M	poslanec	53	53	1	Písek	30379
1168	3	1	Ing.		Jindřich	Bukovský	48	M	úředník samosprávy	55	55	0	Lhenice	2127
1180	3	1			Jiří	Štěpánek	34	M	logistik	79	79	0	Praha	1335084
1112	3	1			Jiří	Albrecht	57	M	výtvarník	83	83	0	Dačice	7192
1083	3	1		DiS.	Kristýna	Suchá	27	F	moderátorka	88	88	0	Planá nad Lužnicí	4305
1302	3	1			Renata	Pourová	62	F	man. firmy,pol. anal., redakt.	98	98	0	Úsilné	512
1265	3	1			Jaroslav	Michal	41	M	revírník	102	102	0	Malonty	1382
