id	k	c	t1	t2	j	p	a	s	z	v	n	m	b	o
199	1	1	PhDr.		Jana	Hybášková	44	F	předsedkyně EDS	1	1	0	Praha	1335084
172	1	1			Jaroslav	Rovný	62	M	podnikatel	2	2	0	Hroznětín	2061
389	1	1	Mgr.		Ondřej	Liška	32	M	poslanec parlamentu ČR	5	5	0	Praha	1335084
541	1	1	Ing.	MBA	Martin	Pecina	41	M	ministr vnitra	7	7	1	Frýdek-Místek	55006
212	1	1			Miroslav	Kulhavý	64	M	podnikatel	24	24	0	Praha	1335084
453	1	1	Ing.		Jiří	Dolejš	49	M	ekonom, poslanec PS PČR	47	47	1	Praha	1335084
204	1	1	Ing.		David	Vodrážka	39	M	starosta MČ Praha 13	53	53	1	Praha	1335084
226	1	1			Václav	Srb	52	M	průvodce, tlumočník	55	55	0	Praha	1335084
449	1	1			Petr	Cibulka	59	M	pětinásobný politický vězeň	98	98	0	Praha	1335084
95	1	1	Ing.	Ph.D.	Jan	Tamáš	33	M	IT konzultant	100	100	0	Praha	1335084
385	1	1	JUDr.		Klára	Slámová	32	F	advokátka	137	137	0	Praha	1335084
274	1	1			Radek	John	55	M	spisovatel, film.scénárista	144	144	1	Praha	1335084
147	1	1			Tomáš	Vandas	41	M	politik-předseda Dělnické str.	156	156	0	Velká Buková	280
159	1	1			Taťana	Fischerová	62	F	herečka	199	199	0	Praha	1335084
10	1	1	Ing.	Ph.D.	Petr	Mach	35	M	ekonom, předseda strany	714	714	0	Praha	1335084
6	1	1			Ota	Štros	59	M	nezávislý poradce	717	717	0	Praha	1335084
578	1	1			Peter	Havlík	51	M	předseda OBČANÉ.CZ	718	718	0	Praha	1335084
554	1	1			Martin	Brož	36	M	programátor analytik	720	720	0	Praha	1335084
97	1	1			Karel	Schwarzenberg	72	M	senátor	721	721	1	Sýkořice	556
338	1	1			Miroslav	Zajdák	51	M	OSVČ	723	723	0	Brno	382405
220	1	1	Ing.	Ph.D.	Vladimír	Hönig	27	M	vysokoškolský pedagog	724	724	0	Praha	1335084
714	2	1	Mgr.	MBA	Lenka	Ptáčková Melicharová	40	F	náměstkyně ministra vnitra ČR	1	1	0	Příbram	32248
1115	2	1	RNDr.		František	Pelc	47	M	řed. agentury ochrany přírody	5	5	0	Turnov	14391
773	2	1	Ing.		Milan	Urban	51	M	poslanec	7	7	1	Čáslav	10350
695	2	1			Dušan	Kučera	48	M	podnikatel	11	11	0	Beroun	19988
884	2	1			Martin	Rejman	70	M	kancléř Konzervativní strany	24	24	0	Praha	1335084
624	2	1	JUDr.		Stanislav	Grospič	45	M	právník	47	47	1	Mladá Boleslav	44506
848	2	1	Ing.		Petr	Bendl	44	M	místopředseda ODS	53	53	1	Lány	2291
1091	2	1			Jaroslav	Konečný	40	M	živnostník	55	55	0	Čelákovice	12293
903	2	1	PhDr.		Miloslava	Jebavá	57	F	uč. Aj, Fj, překlad. a tlumoč.	98	98	0	Jilemnice	5417
659	2	1	Mgr.		Jana	Volfová	52	F	učitelka, předsed. strany SDŽ	137	137	0	Praha	1335084
1089	2	1	Mgr.		Milan	Hamerský	37	M	zaměstnanec	138	138	0	Kladno	68896
821	2	1	ThDr.		Kateřina	Klasnová	32	F	šéfredaktorka, zastupitelka	144	144	1	Praha	1335084
918	2	1	Mgr.		Milan	Soukup	44	M	obchodní zástupce	156	156	0	Neratovice	16138
798	2	1	Ing.		Karel	Janko	66	M	ekonom, předseda strany	175	175	0	Podolanka	580
1103	2	1			Petr	Zavadil	50	M	živnostník	714	714	0	Měšice	1999
1005	2	1	Ing.		Libor	Halman	54	M	podnikatel	718	718	0	Praha	1335084
879	2	1	PaedDr.		Ivo	Vašíček	48	M	manažer	720	720	0	Zvole	1932
