id	k	c	t1	t2	j	p	a	s	z	v	n	m	b	o
207	1	1	Mgr.		Eva	Kavková	45	F	ředitelka vzdělávací a poradenské organizace, lektorka, terapeutka a koučka	5	5	0	Praha	1335084
395	1	1	Dipl.-Pol.	MSc.	Jana	Maláčová	40	F	ministryně práce a sociálních věcí	7	7	0	Praha	1335084
77	1	1	Mgr.		Marta	Semelová	61	F	učitelka, předsedkyně Krajského výboru Komunistické strany Čech a Moravy	47	47	0	Praha	1335084
365	1	1	JUDr.		Petr	Vacek	57	M	advokát, bývalý diplomat, člen Pro Libertate - Institutu práva a občanských svobod a účastník platformy Zdravé fórum	55	55	0	Praha	1335084
608	1	1			Jan	Májíček	37	M	projektový koordinátor	74	74	0	Praha	1335084
592	1	1	Ing.		Pavel	Dohnal	60	M	jednatel společnosti, čestný předseda strany Moravané, zastupitel města	83	83	0	Hluk	4338
552	1	1			Petr	Cibulka	70	M	pětinásobný politický vězeň, vydavatel seznamů StB, nezávislý novinář, politický analytik, šéfredaktor NECENZUROVANÝCH NOVIN, serveru WWW.CIBULKA.NET, předseda politické strany a autor jejího programu	98	98	0	Praha	1335084
221	1	1	Ing. Mgr.		Pynelopi	Cimprichová	63	F	podnikatelka v Praze, lékárnice, ekonomka	752	752	0	Ostrava	284982
39	1	1	Ing.		Jana	Bobošíková	57	F	manažerka, moderátorka	759	759	0	Praha	1335084
429	1	1			Jana	Peterková	45	F	předsedkyně platformy NEOČKOVANÍ, novinářka	762	762	0	Praha	1335084
594	1	1	Ing.		Patrik	Nacher	46	M	poslanec PSP ČR, provozovatel serveru www.bankovnipoplatky.com	768	768	0	Praha	1335084
621	1	1	Ing.		Jan	Kubín	57	M	podnikatel, předseda hnutí CESTA	1007	1007	0	Praha	1335084
533	1	1	Mgr.		Josef	Nerušil	35	M	člen Rady Českého rozhlasu, odborný pracovník Arcibiskupství pražského, scénárista, dokumentarista	1114	1114	0	Praha	1335084
150	1	1	Ing.		Pavel	Sehnal	57	M	předseda Aliance pro budoucnost	1173	1173	0	Praha	1335084
570	1	1			Zuzana	Majerová Zahradníková	49	F	poslankyně PS PČR, učitelka, překladatelka	1227	1227	0	Bukovany	662
277	1	1			Jaroslav	Šikula	76	M	důchodce	1240	1240	0	Praha	1335084
229	1	1			Jakub	Olbert	48	M	majitel Šeberáku, zakladatel Chcípl pes	1244	1244	0	Praha	1335084
482	1	1	RNDr.		Jiří	Hynek	60	M	prezident Asociace obranného a bezpečnostního průmyslu České republiky	1245	1245	0	Jesenice	9997
22	1	1			Martin	Urza	34	M	anarchokapitalista	1250	1250	0	Praha	1335084
609	1	1	Ing.		Markéta	Pekarová Adamová	37	F	předsedkyně TOP 09, poslankyně	1327	721	0	Praha	1335084
600	1	1	PhDr.	Ph.D.	Olga	Richterová	36	F	1. místopředsedkyně Pirátů, poslankyně, odbornice na sociální politiku, překladatelka	1350	720	0	Praha	1335084
639	2	1	Mgr.	Ph.D.	Magdaléna	Davis	45	F	starostka	5	5	0	Mníšek pod Brdy	6085
812	2	1			Jan	Hamáček	42	M	ministr vnitra	7	7	0	Mladá Boleslav	44506
875	2	1	JUDr.		Stanislav	Grospič	57	M	právník	47	47	0	Mladá Boleslav	44506
1128	2	1	RNDr.		Radim	Špaček	61	M	konsultant, předseda Koruny České (monarchistické strany Čech, Moravy a Slezska)	55	55	0	Roztoky	8783
749	2	1	MUDr.	Ph.D.	Soňa	Peková	47	F	vedoucí laboratoře TILIA LABORATORIES	752	752	0	Pchery	1957
697	2	1	Mgr.		Jana	Volfová	63	F	předsedkyně VOLNÝ blok, středoškolská učitelka	759	759	0	Praha	1335084
894	2	1	PhDr.	Ph.D.	Vladimíra	Vítová	58	F	předsedkyně ALIANCE NÁRODNÍCH SIL, politolog	762	762	0	Praha	1335084
786	2	1	doc. Ing.	Ph.D., MBA	Karel	Havlíček	52	M	místopředseda vlády ČR, ministr	768	768	0	Mníšek pod Brdy	6085
1080	2	1			Aleš	Svoboda	55	M	jednatel společnosti	1007	1007	0	Kralupy nad Vltavou	18485
629	2	1			Radek	Rozvoral	54	M	poslanec, místostarosta obce	1114	1114	0	Všechlapy	799
992	2	1	Bc.		Jan	Krištofiak	41	M	ředitel stavební společnosti	1173	1173	0	Mladá Boleslav	44506
848	2	1			Radomil	Bábek	60	M	předseda výboru Podnikatelských odborů	1227	1227	0	Praha	1335084
699	2	1			Miroslav	Pitrof	56	M	invalidní důchodce	1240	1240	0	Kladno	68896
1015	2	1			Jiří	Janeček	47	M	pivovarník Malý Janek z Jinec a zakladatel Chcípl PES	1244	1244	0	Jince	2301
755	2	1	Mgr.		Tomáš	Sochr	41	M	1. místopředseda Hnutí Přísaha	1245	1245	0	Nenačovice	278
671	2	1			Jana	Urzová	50	F	anarchokapitalistka	1250	1250	0	Kladno	68896
825	2	1	Ing. et Ing.	Ph.D.	Jan	Skopeček	40	M	ekonom a vysokoškolský pedagog, poslanec PČR	1327	53	0	Hořovice	6939
892	2	1	Mgr.		Vít	Rakušan	43	M	poslanec, středoškolský učitel, bývalý starosta města Kolína	1350	166	0	Kolín	32490
1195	3	1	Mgr.		Dana	Kuchtová	60	F	ředitelka dětského domova	5	5	0	Český Krumlov	12788
1396	3	1	JUDr.		Ondřej	Veselý	45	M	poslanec Parlamentu České republiky, místostarosta města Písek	7	7	0	Písek	30379
1220	3	1			Alena	Nohavová	61	F	osoba samostatně výdělečně činná, učitelka mateřské školy	47	47	0	Třeboň	8150
1135	3	1	Ing.		Jaromír	Vrána	76	M	filosof a spisovatel, emeritní auditor královského města Tábor, obnovitel zemanského statku Rohozov	55	55	0	Tábor	34119
1259	3	1	Ing.		Zdeněk	Zbožínek	71	M	projektant	83	83	0	Brno	382405
