id	k	c	t1	t2	j	p	a	s	z	v	n	m	b	o
419	1	1	Mgr.		Daniel	Herman	54	M	ministr kultury ČR, místopředseda KDU-ČSL	1	1	0	Praha	1335084
297	1	1	Ing.		Michal	Klusáček	37	M	letecký inženýr	2	2	0	Praha	1335084
57	1	1	PhDr.		Matěj	Stropnický	34	M	novinář, předseda Zelených, zast. HMP a Prahy 3	5	5	0	Praha	1335084
554	1	1			Petr	Dolínek	36	M	náměstek primátorky	7	7	1	Praha 6	1335084
362	1	1	Mgr.		Marta	Semelová	57	F	poslankyně Parlamentu České republiky	47	47	0	Praha	1335084
825	1	1	Mgr.		Jana	Černochová	43	F	starostka MČ Praha 2	53	53	1	Praha	1335084
290	1	1			Petr	Cibulka	66	M	předseda strany a autor programu, novinář	98	98	0	Praha	1335084
96	1	1	Mgr.		Petr	Hannig	71	M	hudeb.vydavatel a producent, předseda str. Rozumní	137	137	0	Praha	1335084
52	1	1			David	Štěpán	53	M	středoškolský učitel; předseda strany BPI	155	155	0	Teplice	49705
766	1	1	MUDr.	CSc.	Bohdan	Babinec	73	M	lékař	156	156	0	Praha	1335084
426	1	1	Mgr.		Jan	Farský	38	M	poslanec PSP ČR, právník	166	166	1	Semily	8311
641	1	1	Ing.	Ph.D.	Petr	Mach	42	M	vysokoškolský učitel, předseda strany	714	714	0	Praha	1335084
681	1	1	Mgr. et Mgr.		Jakub	Michálek	28	M	právník a předseda klubu Pirátů v Zastup. HMP	720	720	1	Praha	1335084
58	1	1			Karel	Schwarzenberg	79	M	poslanec Parlamentu ČR	721	721	1	Sýkořice	556
734	1	1			František	Čech	74	M	hudebník-František Ringo Čech, politik	724	724	0	Jíloviště	693
418	1	1			Ludvík	Adámek	62	M	OSVČ	762	762	0	Praha	1335084
695	1	1	MgA.		Martin	Stropnický	60	M	ministr obrany ČR	768	768	1	Praha	1335084
842	1	1			Antonie	Krzemieňová	59	F	spisovatelka	769	769	0	Praha	1335084
105	1	1	Ing.	Ph.D.	Tomáš	Krčma	35	M	projektant	1041	1041	0	Praha	1335084
773	1	1	Mgr.		Jiří	Kobza	61	M	diplomat	1114	1114	1	Praha	1335084
149	1	1			Karel	Fleischer	54	M	podnikatel	1125	1125	0	Brno	382405
800	1	1			Soňa	Vladařová	39	F	ekonom	1127	1127	0	Praha	1335084
88	1	1	Ing.		Pavel	Sehnal	53	M	podnikatel	1173	1173	0	Praha	1335084
549	1	1	Mgr.		Michal	Moroz	37	M	právník, tajemník politické strany	1176	1176	0	Praha	1335084
845	1	1	Mgr.		Lucie	Meškanová	43	F	lektorka a konzultantka v oblasti komunikace	1177	1177	0	Praha	1335084
